,name,typ,M2S_node,Assumed BA,Gen_MWh,weights
27,PP_2706_ST6,ngcc,n_28665,CPLE,102.8,0.035828802453645614
28,PP_2706_ST8,ngcc,n_28665,CPLE,102.8,0.035828802453645614
29,PP_2709_1,ngct,n_6661,DUK,195.2,0.0286300968025814
30,PP_2709_1A,ngcc,n_6661,DUK,221.0,0.04359490274983233
31,PP_2709_1B,ngcc,n_6661,DUK,221.0,0.04359490274983233
32,PP_2709_1C,ngcc,n_6661,DUK,221.0,0.04359490274983233
33,PP_2709_2,ngct,n_6661,DUK,195.2,0.0286300968025814
34,PP_2709_3,ngct,n_6661,DUK,195.2,0.0286300968025814
35,PP_2709_4,ngct,n_6661,DUK,195.2,0.0286300968025814
36,PP_2709_5,ngct,n_6661,DUK,198.9,0.029172777940745086
37,PP_2709_ST1,ngcc,n_6661,DUK,405.0,0.07989111137412712
38,PP_2713_CA1,ngcc,n_28666,CPLE,288.0,0.10037641154328733
39,PP_2713_CT004,ngct,n_28666,CPLE,60.5,0.02343235601688679
40,PP_2713_CT005,ngct,n_28666,CPLE,60.5,0.02343235601688679
41,PP_2713_CT1,ngcc,n_28666,CPLE,221.0,0.07702495469120313
42,PP_2713_CT2,ngcc,n_28666,CPLE,221.0,0.07702495469120313
43,PP_2720_CT11,ngcc,n_31267,DUK,185.3,0.036552649228705575
44,PP_2720_CT12,ngcc,n_31267,DUK,185.3,0.036552649228705575
45,PP_2720_ST10,ngcc,n_31267,DUK,327.3,0.06456385371049829
46,PP_2723_CT8,ngcc,n_7014,DUK,185.3,0.036552649228705575
47,PP_2723_CT9,ngcc,n_7014,DUK,185.3,0.036552649228705575
48,PP_2723_ST7,ngcc,n_7014,DUK,327.3,0.06456385371049829
49,PP_3250_12,ngct,n_6707,CPLE,158.0,0.061195243812696073
50,PP_3250_13,ngct,n_6707,CPLE,158.0,0.061195243812696073
51,PP_3264_3,ngct,n_10239,DUK,163.2,0.023936638310354943
52,PP_3264_7,ngct,n_10239,DUK,54.0,0.00792021120563215
53,PP_3264_8,ngct,n_10239,DUK,54.0,0.00792021120563215
54,PP_3264_CT11,ngcc,n_10239,DUK,242.3,0.04779658342210124
55,PP_3264_CT12,ngcc,n_10239,DUK,242.3,0.04779658342210124
56,PP_3264_ST10,ngcc,n_10239,DUK,362.1,0.07142857142857144
57,PP_3291_GT2,ngct,n_9961,DUK,19.6,0.0028747433264887066
58,PP_3291_GT3,ngct,n_9961,DUK,22.3,0.003270753886770314
59,PP_3291_GT4,ngct,n_9961,DUK,22.3,0.003270753886770314
60,PP_55043_GT1,ngcc,n_4521,DUK,60.0,0.01183572020357439
61,PP_55043_ST1,ngcc,n_4521,DUK,41.2,0.008127194539787747
62,PP_55166_CT01,ngct,n_4521,DUK,197.0,0.02889410384276914
63,PP_55166_CT02,ngct,n_4521,DUK,197.0,0.02889410384276914
64,PP_55166_CT03,ngct,n_4521,DUK,197.0,0.02889410384276914
65,PP_55166_CT04,ngct,n_4521,DUK,197.0,0.02889410384276914
66,PP_55166_CT05,ngct,n_4521,DUK,197.0,0.02889410384276914
67,PP_56249_1,ngct,n_29024,CPLE,57.3,0.02219295867384484
68,PP_56249_2,ngct,n_29024,CPLE,57.3,0.02219295867384484
69,PP_56249_3,ngct,n_29024,CPLE,57.3,0.02219295867384484
70,PP_56249_4,ngct,n_29024,CPLE,57.3,0.02219295867384484
71,PP_56249_5,ngct,n_29024,CPLE,57.3,0.02219295867384484
72,PP_56249_6,ngct,n_29024,CPLE,57.3,0.02219295867384484
73,PP_56292_ES1,ngct,n_28663,CPLE,57.3,0.02219295867384484
74,PP_56292_ES2,ngct,n_28663,CPLE,57.3,0.02219295867384484
75,PP_56292_ES3,ngct,n_28663,CPLE,57.3,0.02219295867384484
